Acc_X,Acc_Y,Acc_Z,Class
2.660984,-9.65303,0.470237,1
2.223091,2.223091,2.223091,1
2.098372,-9.481953,0.92607,1
2.716461,-9.739352,0.912008,1
2.288388,-9.371498,0.91039,1
2.912962,-9.70228,0.736646,1
2.228852,-9.616857,0.908367,1
3.016232,-9.603462,0.339332,1
2.106558,-9.628105,1.443061,1
2.976023,-9.649939,-0.076014,1
2.753596,-9.934291,1.854076,1
2.59375,-9.289001,-0.38491,1
2.928611,-9.751028,1.779072,1
2.686823,-9.188087,-0.27228,1
2.249143,-9.372323,1.645357,1
3.130709,-9.587917,-0.016222,1
2.634844,-9.35352,1.560577,1
3.174378,-9.439078,0.478881,1
2.516101,-9.551991,1.205062,1
3.143967,-9.468188,0.239476,1
1.884608,-9.746713,0.801013,1
3.12039,-9.670359,0.051653,1
2.444743,-9.651731,0.158261,1
2.362298,-9.704863,0.563155,1
2.63997,-9.731813,0.354877,1
2.269175,-9.546275,0.891153,1
3.228938,-9.676829,0.322055,1
2.354986,-9.394252,1.019374,1
2.833451,-9.502458,0.433126,1
2.55099,-9.577183,1.083384,1
3.254255,-9.722054,0.298405,1
2.343163,-9.315666,1.224693,1
3.044094,-9.437285,0.548206,1
2.522192,-9.469981,1.015289,1
3.035383,-9.641018,0.522049,1
2.277353,-9.448642,1.327788,1
3.182762,-9.707962,0.401449,1
2.37527,-9.344981,1.217608,1
3.050022,-10.024115,0.363401,1
2.237793,-9.179734,1.313038,1
3.006599,-10.077515,0.328767,1
2.360646,-9.083399,1.356628,1
3.091852,-10.01705,0.090215,1
2.156594,-9.089271,1.738055,1
3.057296,-9.925819,-0.03384,1
2.489496,-9.083518,1.498631,1
2.787533,-9.893976,0.155551,1
1.82023,-9.430028,1.697362,1
3.085677,-9.741481,-0.114349,1
1.77309,-9.637384,-0.071884,1
2.718282,-9.678398,0.037432,1
3.123216,-9.335023,0.538779,1
2.559942,-9.586288,1.186541,1
2.912436,-9.413576,0.633476,1
2.42173,-9.601543,1.306728,1
3.089237,-9.684492,0.35483,1
2.180882,-9.449255,1.395605,1
3.007267,-9.956244,0.260692,1
2.11303,-9.099244,1.835647,1
3.070467,-9.914344,0.264856,1
2.305692,-9.240117,1.62245,1
2.92874,-10.079576,0.272325,1
2.449062,-8.967352,1.556282,1
3.033991,-9.998727,0.306049,1
1.749768,-9.156519,1.715363,1
3.266618,-9.635431,0.179977,1
2.288918,-9.279077,1.970439,1
2.854762,-9.800686,-0.252634,1
2.526248,-9.34777,1.973522,1
2.609101,-10.010489,-0.266254,1
2.78926,-9.611102,2.074302,1
2.691407,-9.134556,-0.552029,1
2.461223,-9.362642,1.766887,1
3.108849,-9.483285,-0.007108,1
2.303399,-9.396385,1.076904,1
2.705482,-9.759716,0.72609,1
2.521019,-9.929449,0.078617,1
1.908954,-9.654934,0.791919,1
2.778728,-9.998912,-0.100357,1
1.970307,-9.245742,1.623381,1
2.98385,-9.761486,0.120173,1
2.245456,-9.62438,2.046503,1
2.659074,-9.642319,-0.256173,1
2.24308,-9.234303,1.763618,1
3.001596,-9.646167,0.091168,1
2.25379,-9.479981,1.248139,1
2.590887,-9.667835,0.619458,1
2.967806,-9.184658,0.771287,1
2.736725,-9.681011,1.149768,1
2.952594,-9.789809,0.465927,1
2.105613,-9.531289,1.434981,1
3.080798,-9.907229,0.222595,1
2.399324,-8.975362,2.024038,1
2.79828,-9.889095,0.230341,1
2.374542,-9.204081,1.737919,1
3.037972,-9.514988,0.113061,1
1.836799,-9.498881,2.212288,1
2.49129,-9.893362,-0.093021,1
2.286658,-9.436029,2.243745,1
2.671695,-9.403237,-0.344683,1
2.549536,-9.28485,1.849619,1
2.89127,-9.570795,0.063134,1
2.43826,-9.271247,1.355683,1
2.940527,-9.658866,0.54905,1
2.591339,-9.623668,0.485479,1
2.231503,-9.670711,1.066121,1
2.50064,-10.318916,-0.455041,1
2.133973,-9.392285,1.248581,1
3.196406,-9.579155,0.0109,1
2.29393,-9.398857,1.182968,1
2.813951,-9.920203,0.15439,1
2.340621,-9.320147,1.923144,1
2.617105,-9.656104,-0.396593,1
2.744599,-9.62213,1.696724,1
2.614713,-9.356923,-0.39347,1
2.570516,-9.090367,1.994277,1
2.705294,-9.724116,-0.128697,1
2.781681,-9.757366,1.757404,1
2.466496,-9.706107,-0.168529,1
2.861741,-9.433304,2.012056,1
2.591228,-9.499124,-0.400898,1
2.987971,-9.649689,1.739017,1
2.91204,-9.547023,-0.399111,1
2.752943,-9.419196,1.98527,1
2.688594,-9.576401,-0.406074,1
2.819153,-9.273642,1.806224,1
2.973845,-9.71582,-0.030005,1
2.302045,-9.190013,1.618041,1
3.018588,-9.854534,0.118677,1
2.363865,-9.17327,1.880687,1
2.82039,-9.952663,0.203215,1
2.060112,-9.467287,1.106007,1
2.891884,-9.976624,-0.350092,1
1.913486,-9.957865,1.32132,1
2.54259,-9.423975,-0.157428,1
2.713444,-9.515349,1.659165,1
2.4663,-9.776073,-0.104473,1
2.427484,-8.909604,2.042644,1
2.92617,-9.918596,-0.050966,1
2.430228,-9.151333,2.083621,1
2.769354,-10.007951,-0.235819,1
2.772551,-9.199205,1.937236,1
2.430588,-9.709053,-0.008509,1
2.238363,-9.282224,1.929345,1
3.066481,-9.499397,-0.025967,1
2.439715,-9.570658,1.738211,1
2.921232,-9.582376,-0.181177,1
2.553063,-9.519908,1.673653,1
2.873057,-9.517635,-0.002036,1
2.24293,-9.595493,1.458857,1
2.944102,-9.460839,0.284023,1
2.431499,-9.324886,1.143711,1
3.064857,-9.725902,0.555617,1
2.485943,-9.291763,0.87186,1
2.715522,-9.761954,0.910968,1
2.505385,-9.469456,0.661624,1
2.657669,-9.828642,0.99676,1
2.532527,-9.692994,0.408567,1
1.633365,-9.784385,1.171832,1
2.422513,-10.320565,-0.611768,1
1.770038,-9.413866,1.604247,1
3.005983,-9.828926,-0.053484,1
2.170325,-9.143379,1.670234,1
2.862029,-9.832675,0.117823,1
2.203016,-9.342565,1.522099,1
2.862958,-9.716819,0.22953,1
2.292848,-9.43524,1.467174,1
2.945761,-9.821615,0.008414,1
2.198705,-9.17381,1.68299,1
2.900896,-9.84711,0.168781,1
2.214988,-9.218095,1.687133,1
2.94307,-9.932998,-0.003274,1
2.241671,-9.203907,1.475105,1
3.03269,-9.720591,0.089141,1
2.231378,-9.315541,1.316343,1
3.108685,-9.644744,0.210419,1
1.982674,-9.385187,1.736222,1
2.904903,-9.6485,0.234613,1
1.998165,-9.305326,1.657698,1
2.890333,-9.846803,-0.075862,1
2.347792,-9.273179,1.485762,1
2.986375,-9.935334,-0.001372,1
2.531717,-9.035274,1.782732,1
2.919135,-9.961521,0.032577,1
1.904055,-9.69619,1.573356,1
2.317764,-9.549197,-0.576853,1
1.651701,-9.803693,0.91612,1
3.030686,-9.482634,0.215442,1
2.25374,-9.412027,0.663804,1
2.652312,-9.92294,0.584218,1
2.54065,-9.443087,0.711046,1
2.26749,-9.804184,0.897722,1
2.654876,-9.356063,0.67099,1
2.676179,-9.847361,0.989467,1
2.921886,-9.657939,0.501953,1
2.063726,-9.444804,1.580044,1
2.892298,-9.98597,0.246936,1
2.315622,-9.099535,1.377951,1
2.963608,-9.686566,-0.015773,1
1.935187,-9.361997,1.567968,1
2.437776,-9.941177,0.146314,1
2.60569,-9.588251,2.089414,1
2.403192,-9.474257,-0.331921,1
2.550101,-9.428511,2.04848,1
2.525898,-9.454366,0.009904,1
2.108202,-9.580771,1.578839,1
2.918488,-9.507998,0.289091,1
2.502901,-9.332782,1.188078,1
2.755559,-9.710862,0.890113,1
2.303139,-9.393402,0.714966,1
2.544758,-9.797933,0.842714,1
2.459373,-9.3991,0.670526,1
2.158683,-9.955272,1.087106,1
2.097434,-10.214203,-0.440986,1
1.879597,-9.682249,0.706806,1
3.17241,-9.972064,-0.005179,1
2.207731,-9.114103,1.412856,1
2.761719,-10.018473,0.273537,1
2.192925,-9.064593,1.827211,1
2.662517,-10.105165,0.312474,1
2.188157,-9.186779,1.856925,1
3.219077,-9.730494,-0.065495,1
2.302328,-9.269731,1.475829,1
2.646678,-10.091131,0.224693,1
2.349644,-9.064129,1.445506,1
2.732828,-10.005829,0.411358,1
2.144376,-9.26658,1.503482,1
2.609589,-9.957905,0.498895,1
1.949203,-9.244228,1.467133,1
2.858143,-9.89408,0.392041,1
2.178649,-9.23158,1.355675,1
2.982636,-9.752891,0.471034,1
2.40962,-9.426533,0.965693,1
2.985662,-9.798282,0.386872,1
2.212928,-9.30076,1.315045,1
3.031856,-10.020456,0.280541,1
2.267672,-9.065886,1.346238,1
2.657273,-10.276682,0.29832,1
2.099576,-9.067774,1.531981,1
2.345925,-10.124437,-0.134763,1
1.65533,-9.695834,0.849271,1
3.043869,-9.648151,-0.163883,1
2.063211,-9.372776,1.261624,1
2.938295,-9.94949,-0.009123,1
2.147724,-9.320864,1.400604,1
2.772974,-9.926574,0.141326,1
2.002103,-9.184834,1.670813,1
2.861367,-9.975096,-0.059862,1
2.474902,-9.143324,1.601513,1
2.746312,-9.911404,-0.027709,1
2.26896,-9.37101,2.078847,1
2.680403,-9.818484,-0.049856,1
2.226812,-9.243561,2.067997,1
2.668092,-9.841176,-0.092187,1
2.441145,-9.434127,2.282815,1
2.40041,-9.791146,-0.142294,1
2.607526,-9.384975,2.345855,1
2.787577,-9.995262,0.101897,1
2.270938,-9.15875,1.990254,1
2.647949,-9.984341,0.036507,1
1.906922,-9.215774,1.834946,1
2.324689,-9.90224,-0.179418,1
2.252016,-9.22415,2.436987,1
2.654546,-9.539049,0.057797,1
1.9107,-9.520939,1.702139,1
2.681075,-9.726508,0.462338,1
2.120971,-9.877482,0.340994,1
1.645971,-9.775966,0.759854,1
2.757753,-9.960192,-0.236973,1
2.252843,-9.266163,1.645448,1
2.925459,-9.647786,-0.023754,1
1.932539,-9.263638,2.182008,1
2.614513,-10.037159,-0.075681,1
1.988242,-9.043629,2.016384,1
2.428573,-9.826369,0.037049,1
1.902585,-9.337924,1.906024,1
2.699287,-9.61657,0.255899,1
1.842528,-9.545819,1.717394,1
2.789424,-9.697749,0.148628,1
1.93041,-9.578595,1.206368,1
2.826301,-9.641414,0.567829,1
2.028445,-9.66882,1.023546,1
2.697207,-9.585403,0.546044,1
1.944713,-9.466078,0.983388,1
2.664652,-9.915731,0.58976,1
2.196365,-9.477899,1.018234,1
2.637292,-9.734711,0.481941,1
2.364915,-9.305005,1.184123,1
2.736342,-9.736477,0.870381,1
2.491335,-9.383828,0.797549,1
2.430896,-9.816122,0.890846,1
2.509455,-9.677322,0.532597,1
1.909055,-9.574692,1.383311,1
2.276862,-10.171267,-0.038385,1
1.288826,-9.638921,1.201031,1
2.968255,-9.795437,-0.429279,1
1.861159,-9.391921,1.550125,1
2.822193,-9.698692,0.053132,1
1.848737,-9.721193,2.033617,1
2.399702,-9.700702,-0.196876,1
2.400662,-9.579973,1.736615,1
2.352919,-9.513977,0.071609,1
1.919397,-9.403708,1.30641,1
2.614933,-9.726894,0.877832,1
2.544051,-9.677519,0.631776,1
2.027891,-9.678826,1.214692,1
2.544428,-10.034523,0.371651,1
1.907466,-9.157245,2.054124,1
2.719215,-9.667366,-0.036026,1
1.884788,-9.236525,1.972707,1
2.621424,-9.93788,0.035389,1
2.296096,-9.25666,1.765845,1
2.413769,-10.032358,0.22058,1
2.171605,-9.223473,1.921028,1
2.452286,-9.997488,-0.156356,1
2.231573,-9.30489,1.816169,1
2.684813,-9.874597,-0.460926,1
2.322542,-9.264703,2.01616,1
2.304612,-9.95047,-0.187072,1
2.524976,-9.677256,2.023356,1
2.198439,-9.283218,-0.121353,1
2.053898,-9.549224,1.712929,1
2.337928,-9.385257,0.317841,1
1.724722,-10.027918,-0.073013,1
2.382468,-9.760702,0.163372,1
2.78009,-9.385509,0.528845,1
2.381087,-9.822194,0.990004,1
2.586633,-9.545196,0.551459,1
2.221023,-9.729657,1.225477,1
2.582761,-9.782346,0.493913,1
2.097626,-9.38341,1.361454,1
2.443497,-10.003558,0.485869,1
1.886176,-9.263505,1.299145,1
